,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
25,0.013334035873413086,0.0016998772862053854,0.0026667912801106772,0.0009426845167186227,gini,26,"{'criterion': 'gini', 'min_samples_leaf': 26}",0.5241488519398259,0.528196981731533,0.5199362041467305,0.5240995762711864,0.003369718820956733,12,0.5813768404297652,0.5824394119984108,0.5967486122125297,0.5868549548802352,0.007009308389148049
26,0.013000806172688803,0.004242782750096666,0.003000179926554362,0.0008165347377806026,gini,27,"{'criterion': 'gini', 'min_samples_leaf': 27}",0.5233570863024545,0.528196981731533,0.5191387559808612,0.5235699152542372,0.0036978930422115006,15,0.5805809789096698,0.5820421136273342,0.5896114195083267,0.5840781706817769,0.003957807524221593
27,0.010000387827555338,2.247831920581015e-07,0.001333475112915039,0.00047137035374583886,gini,28,"{'criterion': 'gini', 'min_samples_leaf': 28}",0.5217735550277118,0.528196981731533,0.5159489633173844,0.5219809322033898,0.004998079827210643,25,0.5797851173895742,0.5812475168851807,0.5888183980967486,0.5832836774571679,0.003958914202138322
28,0.018001000086466473,0.009416906751067829,0.00500027338663737,0.0035593263777058074,gini,29,"{'criterion': 'gini', 'min_samples_leaf': 29}",0.5225653206650831,0.5266084193804607,0.518341307814992,0.522510593220339,0.0033723445382111985,21,0.5793871866295265,0.5808502185141041,0.5880253766851705,0.5827542606096004,0.0037747948364048605
29,0.009667396545410156,0.0009429092999094829,0.001666704813639323,0.0004714827453418679,gini,30,"{'criterion': 'gini', 'min_samples_leaf': 30}",0.517814726840855,0.528196981731533,0.5095693779904307,0.5185381355932204,0.0076154123132184046,43,0.5773975328292877,0.5788637266587207,0.5876288659793815,0.58129670848913,0.004517343979772334
30,0.008667230606079102,0.00047137035374583886,0.002000093460083008,0.0,gini,31,"{'criterion': 'gini', 'min_samples_leaf': 31}",0.5201900237529691,0.5289912629070691,0.5039872408293461,0.5177436440677966,0.010345446899997631,47,0.5738161559888579,0.5764799364322606,0.5860428231562252,0.5787796385257812,0.005249718709581937
31,0.00933369000752767,0.0012472349320385085,0.002000093460083008,0.0,gini,32,"{'criterion': 'gini', 'min_samples_leaf': 32}",0.5273159144893111,0.5234312946783162,0.5015948963317385,0.517478813559322,0.01131233133407109,49,0.5674492638280939,0.5729042510925705,0.5856463124504362,0.575333275790367,0.007624883185022175
32,0.009667237599690756,0.0009428530990877068,0.0016667842864990234,0.00047137035374583886,gini,33,"{'criterion': 'gini', 'min_samples_leaf': 33}",0.5273159144893111,0.5234312946783162,0.5039872408293461,0.5182733050847458,0.010197992233836328,45,0.5674492638280939,0.5717123559793404,0.5824742268041238,0.5738786155371861,0.006322282734463078
33,0.009000619252522787,0.0008165347377806026,0.0020001729329427085,1.1239159602905075e-07,gini,34,"{'criterion': 'gini', 'min_samples_leaf': 34}",0.5368171021377672,0.5234312946783162,0.5039872408293461,0.5214512711864406,0.013474726032378282,27,0.5662554715479506,0.5697258641239571,0.5824742268041238,0.5728185208253439,0.006973062436710044
34,0.009000698725382486,1.1239159602905075e-07,0.0016666253407796223,0.00047142655959197545,gini,35,"{'criterion': 'gini', 'min_samples_leaf': 35}",0.5368171021377672,0.5186656076250993,0.5023923444976076,0.519332627118644,0.014060744075191926,38,0.5662554715479506,0.567342073897497,0.5785091197462332,0.5707022217305603,0.005538105490559516
35,0.009667158126831055,0.00047137035374583886,0.0016667842864990234,0.00047137035374583886,gini,36,"{'criterion': 'gini', 'min_samples_leaf': 36}",0.5360253365003959,0.5194598888006354,0.511164274322169,0.5222457627118644,0.010338239694107097,24,0.5662554715479506,0.567342073897497,0.5741475019825535,0.5692483491426671,0.003492511042973278
36,0.009667158126831055,0.0009427407275903177,0.001333475112915039,0.0004715389511856095,gini,37,"{'criterion': 'gini', 'min_samples_leaf': 37}",0.5304829770387965,0.5194598888006354,0.5079744816586922,0.519332627118644,0.009188828431216428,38,0.5646637485077597,0.567342073897497,0.5693893735130848,0.5671317319727806,0.0019349531806064702
37,0.009667237599690756,0.0009428531191839509,0.0016668637593587239,0.00047159517711601586,gini,38,"{'criterion': 'gini', 'min_samples_leaf': 38}",0.5304829770387965,0.52263701350278,0.5127591706539075,0.5219809322033898,0.007250052206198275,25,0.5646637485077597,0.5657528804131903,0.5678033306899286,0.5660733198702929,0.0013016028974305207
38,0.009667317072550455,0.0004714827453418679,0.002333402633666992,0.00047137035374583886,gini,39,"{'criterion': 'gini', 'min_samples_leaf': 39}",0.5296912114014252,0.5186656076250993,0.5135566188197768,0.520656779661017,0.006735308736147762,29,0.5634699562276164,0.5641636869288836,0.5658207771609833,0.5644848067724945,0.0009862143886801035
39,0.026334842046101887,0.0026247717566395866,0.002333402633666992,0.00047137035374583886,entropy,1,"{'criterion': 'entropy', 'min_samples_leaf': 1}",0.45288994457640536,0.46068308181096107,0.45374800637958534,0.4557733050847458,0.003490048169905009,76,1.0,1.0,1.0,1.0,0.0
40,0.022668123245239258,0.0009429092999094829,0.002000013987223307,1.1239159602905075e-07,entropy,2,"{'criterion': 'entropy', 'min_samples_leaf': 2}",0.45605700712589076,0.4670373312152502,0.4529505582137161,0.4586864406779661,0.006040748595994643,74,0.8754476721050537,0.8708780294000794,0.8794607454401269,0.8752621489817534,0.0035063340569110365
41,0.02366797129313151,0.0037713562018088466,0.002666950225830078,0.0009430778822797648,entropy,3,"{'criterion': 'entropy', 'min_samples_leaf': 3}",0.4679334916864608,0.47339158061953934,0.47607655502392343,0.4724576271186441,0.003389141964193294,73,0.8233187425387982,0.8176400476758046,0.8187946074544012,0.8199177992230013,0.0024505868206800194
42,0.024001518885294598,0.0014143920435766971,0.002000013987223307,1.1239159602905075e-07,entropy,4,"{'criterion': 'entropy', 'min_samples_leaf': 4}",0.4766429136975455,0.4964257347100874,0.4625199362041467,0.4785487288135593,0.013895877483088511,72,0.772383605252686,0.7655939610647596,0.7727993655828708,0.7702589773001054,0.003303028561796888
43,0.02300111452738444,0.003741980914685192,0.0016668637593587239,0.00047142655959197545,entropy,5,"{'criterion': 'entropy', 'min_samples_leaf': 5}",0.4885193982581156,0.49007148530579825,0.4920255183413078,0.4902012711864407,0.0014342039792319186,68,0.7377636291285317,0.7282479141835518,0.7398889770023791,0.7353001734381541,0.005061623345779524
